word,emotion,present
abismal,positivo,0
abismal,negativo,1
abismal,raiva,0
abismal,antecipação,0
abismal,nojo,0
abismal,medo,0
abismal,alegria,0
abismal,tristeza,1
abismal,surpresa,0
abismal,confiança,0
abismo,positivo,0
abismo,negativo,1
abismo,raiva,0
abismo,antecipação,0
abismo,nojo,0
abismo,medo,1
abismo,alegria,0
abismo,tristeza,1
abismo,surpresa,0
abismo,confiança,0
abjeta,positivo,0
abjeta,negativo,1
abjeta,raiva,0
abjeta,antecipação,0
abjeta,nojo,1
abjeta,medo,0
abjeta,alegria,0
abjeta,tristeza,0
abjeta,surpresa,0
abjeta,confiança,0
abjeto,positivo,0
abjeto,negativo,1
abjeto,raiva,1
abjeto,antecipação,0
abjeto,nojo,1
abjeto,medo,0
abjeto,alegria,0
abjeto,tristeza,0
abjeto,surpresa,0
abjeto,confiança,0
abolição,positivo,0
abolição,negativo,1
abolição,raiva,0
abolição,antecipação,0
abolição,nojo,0
abolição,medo,0
abolição,alegria,0
abolição,tristeza,0
abolição,surpresa,0
abolição,confiança,0
abolir,positivo,0
abolir,negativo,1
abolir,raiva,1
abolir,antecipação,0
abolir,nojo,0
abolir,medo,0
abolir,alegria,0
abolir,tristeza,0
abolir,surpresa,0
abolir,confiança,0
abominação,positivo,0
abominação,negativo,1
abominação,raiva,1
abominação,antecipação,0
abominação,nojo,1
abominação,medo,1
abominação,alegria,0
abominação,tristeza,0
abominação,surpresa,0
abominação,confiança,0
abominar,positivo,0
abominar,negativo,1
abominar,raiva,1
abominar,antecipação,0
abominar,nojo,1
abominar,medo,1
abominar,alegria,0
abominar,tristeza,0
abominar,surpresa,0
abominar,confiança,0
abominável,positivo,0
abominável,negativo,1
abominável,raiva,0
abominável,antecipação,0
abominável,nojo,1
abominável,medo,1
abominável,alegria,0
abominável,tristeza,0
abominável,surpresa,0
abominável,confiança,0
aborrecer,positivo,0
aborrecer,negativo,1
aborrecer,raiva,1
aborrecer,antecipação,0
aborrecer,nojo,1
aborrecer,medo,0
aborrecer,alegria,0
aborrecer,tristeza,0
aborrecer,surpresa,0
aborrecer,confiança,0
aborrecido,positivo,0
aborrecido,negativo,1
aborrecido,raiva,0
aborrecido,antecipação,0
aborrecido,nojo,0
aborrecido,medo,0
aborrecido,alegria,0
aborrecido,tristeza,1
aborrecido,surpresa,0
aborrecido,confiança,0
aborrecimento,positivo,0
aborrecimento,negativo,1
aborrecimento,raiva,0
aborrecimento,antecipação,0
aborrecimento,nojo,0
aborrecimento,medo,0
aborrecimento,alegria,0
aborrecimento,tristeza,0
aborrecimento,surpresa,0
aborrecimento,confiança,0
abortar,positivo,0
abortar,negativo,1
abortar,raiva,0
abortar,antecipação,0
abortar,nojo,0
abortar,medo,0
abortar,alegria,0
abortar,tristeza,0
abortar,surpresa,0
abortar,confiança,0
abortivo,positivo,0
abortivo,negativo,1
abortivo,raiva,0
abortivo,antecipação,0
abortivo,nojo,0
abortivo,medo,0
abortivo,alegria,0
abortivo,tristeza,1
abortivo,surpresa,0
abortivo,confiança,0
aborto,positivo,0
aborto,negativo,1
aborto,raiva,0
aborto,antecipação,0
aborto,nojo,1
aborto,medo,1
aborto,alegria,0
aborto,tristeza,1
aborto,surpresa,0
aborto,confiança,0
aborto espontâneo,positivo,0
aborto espontâneo,negativo,1
aborto espontâneo,raiva,0
aborto espontâneo,antecipação,0
aborto espontâneo,nojo,0
aborto espontâneo,medo,1
aborto espontâneo,alegria,0
